gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
ATF6B	184.19	142.63	99.02	74.07	154.68	169.25	137.55	133.61	85.54	75.68	43.53	56.79	154.27	113.51	148.03	56.65	32.01	61.94	20.07	69.61	9.7	97.21	59.05	28.56	49.12	57.38	48.34	4.51	28	83.79	9.32	32.38
FKBPL	152.37	120.87	63.84	57.87	91.52	118.3	51.25	53.63	62.72	58.47	27.3	26.97	128.07	90.93	82.83	39.32	17.22	61.74	21.04	73.69	13.26	75.07	50.03	26.29	31.37	60.34	47.29	6.63	22.29	77.57	1.82	25.77
PRRT1	102.52	76.37	46.63	38.04	102.1	83.48	67.2	59.56	49.89	50.25	27.7	44.8	76.05	66.1	62.51	30.74	41.96	64.65	17.97	72.2	6.83	128.04	65.37	38.96	53.42	73.19	73.08	2.75	35.72	53.69	10.12	36.99
ENSG00000285085	116.58	77.74	49.86	42.46	107.4	86.59	73.27	68.55	52.65	56.08	25.47	44	78.43	65.54	72.94	33.16	41.26	64.61	17.22	67.8	7.89	128.42	57.77	39.62	42.95	64.38	67.19	2.88	27.6	55.57	9.17	36.16
PPT2	155.59	117.18	74.86	72.71	146.82	135.77	111.66	118.27	80.48	72.59	35.83	42.48	121.54	106.32	120.22	67.46	27.73	44.92	19.21	74.52	8.01	107.56	42.95	21.99	36.76	45.14	53.4	3.65	20.34	72.12	13.08	28.52
PPT2-EGFL8	188.36	136.63	95.96	84.14	179.56	169.22	150.2	141.91	95.88	81.66	41.65	57.72	148.14	124.94	149.82	77.12	35.09	59.84	21.76	99.38	12.09	133.67	61.95	34.34	48.43	56.98	65.27	5.26	36.51	105.39	17.36	35.69
EGFL8	244.85	172.88	127.92	101.7	220.24	218.59	210.18	176.16	125.76	92.48	49.62	78.19	193.89	154.56	193.89	93.96	46.51	79.16	23.18	132.58	15.14	179.15	89.77	58.63	59.27	69.91	82.28	7.61	51.96	146.74	18.33	48.23
AGPAT1	248.5	161.39	110.01	97.3	203.12	209.02	149.2	134.85	108.04	106.29	54.31	56.15	189.37	144.29	183.72	82.06	46.49	94.2	28.95	129.77	21.93	171.12	94.15	52.59	73.25	88.29	97.67	9.3	59.56	153.82	25.75	56.83
RNF5	301.39	198.84	126.1	105.48	161.72	222.03	123.4	109.12	122.53	125.78	58.39	42.51	221.02	157.93	239.35	74.57	57.96	104.07	25.97	144.57	19.64	192.71	101.6	57.6	69.1	86.33	74.79	5.96	53.07	135.56	26.15	61.97
AGER	291.57	177.24	136.15	113.96	198.26	225.72	167.25	162.41	124.84	118.45	47.29	54.68	190.13	170.6	225.12	74.93	60.01	80.46	37.74	129.83	16.92	190.81	103.6	48.26	84.5	82.54	84.34	12.57	47.99	117.86	20.59	67.08
